"Enrichment.FDR";"Genes.in.list";"Total.genes";"Functional.Category";"Genes";"species";"feature"
3.91855518282414e-16;55;682;"Response to osmotic stress ";"AT1G35720 AT1G47510 AT1G68090 AT2G38760 AT5G10220 AT5G10230 AT5G12380 AT5G65020 AT1G10940 AT1G30580 AT1G60940 AT2G43790 AT3G08730 AT3G45640 AT3G50500 AT4G01370 AT4G33950 AT5G08590 AT5G63650 AT5G66880 AT1G08830 AT1G09210 AT1G49240 AT1G56340 AT1G57870 AT1G65930 AT1G72370 AT2G28190 AT2G29550 AT2G36530 AT3G08720 AT3G57290 AT4G17260 AT4G31300 AT5G07350 AT5G12250 AT5G14640 AT5G18100 AT5G19320 AT5G20010 AT5G23860 AT5G41790 AT1G78290 AT5G61780 AT1G06390 AT1G16920 AT2G45960 AT3G06110 AT3G20290 AT3G44110 AT3G48330 AT4G33730 AT5G26751 AT5G56030 AT5G58070";"A. thaliana";"AIM"
5.94269291548961e-16;18;55;"Positive regulation of protein complex assembly ";"AT1G20090 AT1G30825 AT1G75840 AT2G17800 AT2G33385 AT2G44690 AT3G48040 AT3G51300 AT4G28950 AT4G35020 AT4G35950 AT5G45970 AT5G62880 AT1G13180 AT3G27000 AT2G22640 AT2G35110 AT5G18410";"A. thaliana";"AIM"
9.23057452832068e-16;58;767;"Cellular protein localization ";"AT1G01200 AT1G02130 AT1G06400 AT1G07410 AT1G08560 AT1G09630 AT1G16920 AT1G28550 AT1G61290 AT1G71820 AT1G72370 AT2G18260 AT2G33210 AT2G41620 AT3G03800 AT3G04770 AT3G09900 AT3G11820 AT3G12160 AT3G13860 AT3G15060 AT3G23990 AT3G24350 AT3G27530 AT3G46060 AT3G46830 AT3G47690 AT3G52400 AT3G53610 AT3G57350 AT4G03330 AT4G17530 AT4G18430 AT4G18800 AT4G39990 AT5G03520 AT5G05760 AT5G08080 AT5G20010 AT5G20020 AT5G45750 AT5G47200 AT5G55190 AT5G59150 AT5G59840 AT5G60860 AT5G62500 AT5G65270 AT5G67270 AT2G45140 AT4G18710 AT1G79280 AT4G02650 AT1G10430 AT5G06140 AT3G63130 AT5G41790 AT5G58590";"A. thaliana";"AIM"
9.23057452832068e-16;17;48;" de novo  posttranslational protein folding ";"AT1G09080 AT1G10350 AT1G16030 AT1G56410 AT1G59725 AT2G20560 AT3G08910 AT3G09440 AT3G12580 AT3G47940 AT4G28480 AT5G01390 AT5G02490 AT5G02500 AT5G25530 AT5G28540 AT5G42020";"A. thaliana";"AIM"
9.23057452832068e-16;17;48;"Chaperone cofactor-dependent protein refolding ";"AT1G09080 AT1G10350 AT1G16030 AT1G56410 AT1G59725 AT2G20560 AT3G08910 AT3G09440 AT3G12580 AT3G47940 AT4G28480 AT5G01390 AT5G02490 AT5G02500 AT5G25530 AT5G28540 AT5G42020";"A. thaliana";"AIM"
1.3711076215619e-15;17;49;"MAPK cascade ";"AT1G01560 AT1G07880 AT1G10210 AT1G18080 AT1G48630 AT1G59580 AT2G18170 AT2G42880 AT2G43790 AT2G46070 AT3G06110 AT3G18130 AT3G45640 AT3G59790 AT4G01370 AT4G11330 AT4G36450";"A. thaliana";"AIM"
1.51031208390594e-15;59;800;"Cellular macromolecule localization ";"AT1G01200 AT1G02130 AT1G06400 AT1G07410 AT1G08560 AT1G09630 AT1G16920 AT1G28550 AT1G61290 AT1G71820 AT1G72370 AT2G18260 AT2G33210 AT2G41620 AT3G03800 AT3G04770 AT3G09900 AT3G11820 AT3G12160 AT3G13860 AT3G15060 AT3G23990 AT3G24350 AT3G27530 AT3G46060 AT3G46830 AT3G47690 AT3G52400 AT3G53610 AT3G57350 AT4G03330 AT4G17530 AT4G18430 AT4G18800 AT4G39990 AT5G03520 AT5G05760 AT5G08080 AT5G20010 AT5G20020 AT5G45750 AT5G47200 AT5G55190 AT5G59150 AT5G59840 AT5G60860 AT5G62500 AT5G65270 AT5G67270 AT2G45140 AT4G18710 AT1G79280 AT4G02650 AT1G10430 AT1G34350 AT5G06140 AT3G63130 AT5G41790 AT5G58590";"A. thaliana";"AIM"
2.10900980261249e-15;19;68;"Positive regulation of cellular component biogenesis ";"AT1G20090 AT1G30825 AT1G75840 AT2G17800 AT2G33385 AT2G44690 AT3G48040 AT3G51300 AT4G28950 AT4G35020 AT4G35950 AT5G45970 AT5G62880 AT1G13180 AT3G27000 AT1G50030 AT2G22640 AT2G35110 AT5G18410";"A. thaliana";"AIM"
6.15693164521452e-15;20;82;"Exocytosis ";"AT1G05360 AT1G08560 AT1G61290 AT1G71820 AT2G18260 AT3G03800 AT3G09900 AT3G11820 AT3G46060 AT3G52400 AT3G53610 AT4G03330 AT4G14950 AT5G03520 AT5G08080 AT5G59840 AT3G51300 AT1G02010 AT1G12360 AT4G12120";"A. thaliana";"AIM"
8.49236707550999e-15;43;463;"Regulation of cellular component organization ";"AT1G20090 AT1G30825 AT1G71790 AT1G75840 AT1G79280 AT2G01330 AT2G17800 AT2G22040 AT2G22640 AT2G26760 AT2G33385 AT2G44690 AT3G05520 AT3G18060 AT3G18140 AT3G47690 AT3G48040 AT3G51300 AT4G28950 AT4G35020 AT4G35950 AT4G37490 AT5G45970 AT5G62500 AT5G62880 AT5G67270 AT2G29890 AT1G13180 AT2G41740 AT3G27000 AT3G57410 AT4G30160 AT5G57320 AT1G50030 AT2G20190 AT2G41980 AT3G12160 AT3G48750 AT3G58040 AT4G05520 AT4G16340 AT2G35110 AT5G18410";"A. thaliana";"AIM"
8.94505322122153e-15;44;485;"Response to metal ion ";"AT1G08860 AT1G35720 AT5G07300 AT5G61900 AT1G02130 AT1G07810 AT1G08830 AT1G18080 AT1G19570 AT1G30580 AT1G56340 AT1G56410 AT1G57720 AT1G64550 AT1G65930 AT1G79930 AT2G28190 AT2G29550 AT2G36530 AT3G09440 AT3G12580 AT3G12670 AT3G13860 AT3G15060 AT3G23990 AT3G25800 AT3G56070 AT4G09000 AT4G20890 AT4G31300 AT4G38740 AT5G02490 AT5G02500 AT5G07350 AT5G10450 AT5G11670 AT5G16050 AT5G20010 AT5G20020 AT5G42020 AT5G45890 AT5G61780 AT5G63680 AT5G56010";"A. thaliana";"AIM"
8.94505322122153e-15;54;711;"Protein-containing complex assembly ";"AT1G04170 AT1G18540 AT1G20090 AT1G30825 AT1G71790 AT1G72370 AT1G74050 AT1G74060 AT1G75840 AT2G17800 AT2G18720 AT2G33385 AT2G35630 AT2G36620 AT2G39460 AT2G41620 AT2G44690 AT3G02080 AT3G04770 AT3G05520 AT3G48040 AT3G51300 AT3G53020 AT3G55280 AT3G57350 AT4G18330 AT4G28950 AT4G35020 AT4G35950 AT5G15520 AT5G22330 AT5G45970 AT5G61170 AT5G62880 AT1G79750 AT2G19900 AT2G22640 AT3G20290 AT4G05520 AT5G11670 AT5G25880 AT1G13180 AT2G29890 AT2G41740 AT3G27000 AT3G57290 AT3G57410 AT4G02650 AT4G30160 AT5G57320 AT5G56010 AT5G56030 AT2G35110 AT5G18410";"A. thaliana";"AIM"
1.29191349972618e-14;82;1464;"Organic substance transport ";"AT1G01200 AT1G02130 AT1G03950 AT1G06400 AT1G07410 AT1G08560 AT1G09630 AT1G16920 AT1G28550 AT1G61290 AT1G72370 AT2G18260 AT2G33210 AT2G41620 AT3G03800 AT3G04770 AT3G09900 AT3G11820 AT3G12160 AT3G13860 AT3G15060 AT3G23990 AT3G24350 AT3G27530 AT3G46060 AT3G46830 AT3G52400 AT3G53610 AT3G57350 AT4G03330 AT4G17530 AT4G18430 AT4G18800 AT4G39990 AT5G03520 AT5G05760 AT5G08080 AT5G20010 AT5G20020 AT5G44560 AT5G45750 AT5G47200 AT5G55190 AT5G59150 AT5G59840 AT5G60860 AT5G65270 AT1G30400 AT2G34660 AT2G45140 AT3G47440 AT4G18710 AT1G02010 AT1G12360 AT1G13980 AT1G56070 AT1G79280 AT1G80760 AT2G19830 AT2G30060 AT2G36830 AT2G45810 AT3G10640 AT3G16240 AT3G61240 AT4G00660 AT4G12120 AT4G29160 AT5G04850 AT5G06140 AT5G07120 AT5G39500 AT5G47450 AT5G58060 AT5G58180 AT5G58440 AT5G58590 AT1G35720 AT2G45960 AT5G65020 AT3G63130 AT5G41790";"A. thaliana";"AIM"
1.65977323141348e-14;17;56;"Locomotion ";"AT1G20090 AT1G75840 AT2G17800 AT2G22640 AT2G35110 AT2G44690 AT3G12300 AT3G48040 AT3G51300 AT4G28950 AT4G35020 AT4G35950 AT5G45970 AT5G62880 AT2G43790 AT3G45640 AT5G16500";"A. thaliana";"AIM"
3.14326744864061e-14;57;807;"Protein-containing complex subunit organization ";"AT1G04170 AT1G18540 AT1G20090 AT1G30825 AT1G71790 AT1G72370 AT1G74050 AT1G74060 AT1G75840 AT2G01330 AT2G17800 AT2G18720 AT2G33385 AT2G35630 AT2G36620 AT2G39460 AT2G41620 AT2G44690 AT3G02080 AT3G04770 AT3G05520 AT3G18060 AT3G48040 AT3G51300 AT3G53020 AT3G55280 AT3G57350 AT4G18330 AT4G28950 AT4G35020 AT4G35950 AT5G15520 AT5G22330 AT5G45970 AT5G61170 AT5G62880 AT1G79750 AT2G19900 AT2G22640 AT2G29890 AT3G20290 AT4G05520 AT4G30160 AT5G11670 AT5G25880 AT1G13180 AT2G41740 AT3G27000 AT3G57290 AT3G57410 AT4G02650 AT5G57320 AT2G20190 AT5G56010 AT5G56030 AT2G35110 AT5G18410";"A. thaliana";"AIM"
5.05836671074518e-14;20;91;"Positive regulation of organelle organization ";"AT1G20090 AT1G30825 AT1G75840 AT2G01330 AT2G17800 AT2G33385 AT2G44690 AT3G18060 AT3G48040 AT3G51300 AT4G28950 AT4G35020 AT4G35950 AT5G45970 AT5G62880 AT1G13180 AT3G27000 AT2G22640 AT2G35110 AT5G18410";"A. thaliana";"AIM"
5.07745203302879e-14;144;3532;"Macromolecule modification ";"AT1G03920 AT1G03930 AT1G04440 AT1G10940 AT1G18080 AT1G19570 AT1G30640 AT1G48630 AT1G50700 AT1G60940 AT1G61950 AT1G65350 AT1G72710 AT1G75270 AT1G78290 AT2G16600 AT2G18470 AT2G19470 AT2G19670 AT2G20470 AT2G21130 AT2G26760 AT2G28590 AT2G34650 AT2G41970 AT2G47060 AT3G04530 AT3G08720 AT3G08730 AT3G09010 AT3G10540 AT3G17410 AT3G17420 AT3G18130 AT3G23310 AT3G23340 AT3G29160 AT3G46140 AT3G48750 AT3G50500 AT4G02890 AT4G05050 AT4G05320 AT4G10050 AT4G14340 AT4G14350 AT4G22300 AT4G22305 AT4G26100 AT4G29510 AT4G33080 AT4G33950 AT4G34500 AT4G34870 AT4G37490 AT5G03240 AT5G04510 AT5G08590 AT5G09890 AT5G16500 AT5G16710 AT5G20620 AT5G22330 AT5G43320 AT5G44100 AT5G57015 AT5G63650 AT5G64350 AT5G66680 AT5G66880 AT5G67530 AT1G06390 AT1G49340 AT1G59580 AT2G30980 AT2G41980 AT2G43790 AT2G46070 AT3G05840 AT3G23610 AT3G45640 AT3G58040 AT3G61160 AT4G00720 AT4G01370 AT4G18710 AT4G27880 AT5G14640 AT1G01560 AT1G07880 AT1G09840 AT1G10210 AT1G10430 AT1G13320 AT1G25490 AT1G26830 AT1G50030 AT1G57870 AT1G59830 AT1G64790 AT1G69670 AT1G69960 AT2G07180 AT2G18170 AT2G26290 AT2G29400 AT2G29960 AT2G39840 AT2G40730 AT2G42500 AT2G42880 AT2G45240 AT3G06110 AT3G25800 AT3G46820 AT3G48330 AT3G55070 AT3G56070 AT3G58500 AT3G59790 AT3G59830 AT3G61790 AT4G11240 AT4G11330 AT4G13020 AT4G18950 AT4G33970 AT4G36450 AT4G38740 AT5G01020 AT5G01060 AT5G01810 AT5G05420 AT5G10480 AT5G18700 AT5G26751 AT5G28290 AT5G43380 AT5G50240 AT5G58710 AT5G59160 AT1G79280 AT3G12580 AT5G04290";"A. thaliana";"AIM"
8.17436297369166e-14;104;2194;"Response to organic substance ";"AT1G09080 AT1G16030 AT1G35720 AT1G47510 AT1G50700 AT1G56410 AT1G61950 AT2G16600 AT2G21130 AT2G24150 AT3G04050 AT3G04530 AT3G09440 AT3G12580 AT3G25960 AT3G55650 AT3G55810 AT4G26390 AT4G30850 AT4G34870 AT4G37680 AT4G38320 AT5G01060 AT5G02490 AT5G02500 AT5G08570 AT5G28540 AT5G42020 AT5G56350 AT5G63680 AT1G10940 AT1G18540 AT1G50030 AT1G56070 AT1G74030 AT2G16850 AT2G33210 AT2G37170 AT2G43790 AT3G45640 AT3G50500 AT3G53420 AT4G17520 AT4G30160 AT4G33950 AT4G35100 AT4G38740 AT5G04430 AT5G08080 AT5G16710 AT5G58070 AT5G60660 AT5G62880 AT5G66880 AT1G10430 AT1G25490 AT2G18470 AT2G34650 AT2G46070 AT3G48040 AT4G16340 AT4G18710 AT4G28950 AT4G35020 AT5G38480 AT5G41790 AT1G01560 AT1G08830 AT1G18080 AT1G19570 AT1G48630 AT2G14580 AT2G14610 AT2G28190 AT2G36530 AT3G11820 AT3G18130 AT3G18780 AT3G29160 AT3G46060 AT3G48330 AT4G01370 AT4G05320 AT4G17260 AT5G09810 AT5G45890 AT1G75270 AT1G06400 AT2G17800 AT3G06110 AT3G17410 AT3G53020 AT4G00720 AT4G21534 AT4G21540 AT5G01810 AT5G51060 AT1G06390 AT1G35160 AT1G78300 AT2G30980 AT5G10450 AT5G65430 AT1G10210";"A. thaliana";"AIM"
1.90745529929731e-13;48;621;"Cellular protein-containing complex assembly ";"AT1G04170 AT1G18540 AT1G20090 AT1G30825 AT1G71790 AT1G72370 AT1G74050 AT1G74060 AT1G75840 AT2G17800 AT2G18720 AT2G33385 AT2G35630 AT2G36620 AT2G39460 AT2G41620 AT2G44690 AT3G02080 AT3G04770 AT3G05520 AT3G48040 AT3G51300 AT3G53020 AT3G55280 AT3G57350 AT4G18330 AT4G28950 AT4G35020 AT4G35950 AT5G15520 AT5G22330 AT5G45970 AT5G61170 AT5G62880 AT1G13180 AT2G29890 AT2G41740 AT3G27000 AT3G57290 AT3G57410 AT4G02650 AT4G30160 AT5G57320 AT5G56010 AT5G56030 AT2G22640 AT2G35110 AT5G18410";"A. thaliana";"AIM"
2.45079052905011e-13;29;232;"Response to heat ";"AT1G09080 AT1G16030 AT1G35720 AT1G56410 AT1G68090 AT2G38760 AT3G09440 AT3G12580 AT5G02490 AT5G02500 AT5G10220 AT5G10230 AT5G12380 AT5G28540 AT5G42020 AT5G56000 AT5G56010 AT5G56030 AT5G65020 AT5G07350 AT5G61780 AT3G44110 AT5G22060 AT1G79930 AT3G08720 AT3G23990 AT5G58070 AT1G09090 AT1G71790";"A. thaliana";"AIM"
3.31371625499269e-13;20;100;"Secretion by cell ";"AT1G05360 AT1G08560 AT1G61290 AT1G71820 AT2G18260 AT3G03800 AT3G09900 AT3G11820 AT3G46060 AT3G52400 AT3G53610 AT4G03330 AT4G14950 AT5G03520 AT5G08080 AT5G59840 AT3G51300 AT1G02010 AT1G12360 AT4G12120";"A. thaliana";"AIM"
3.84659832181811e-13;35;348;"Response to cadmium ion ";"AT1G35720 AT1G02130 AT1G07810 AT1G18080 AT1G30580 AT1G56340 AT1G56410 AT1G57720 AT1G64550 AT1G65930 AT1G79930 AT2G29550 AT2G36530 AT3G09440 AT3G12580 AT3G12670 AT3G13860 AT3G15060 AT3G23990 AT3G25800 AT3G56070 AT4G09000 AT4G20890 AT4G38740 AT5G02490 AT5G02500 AT5G07350 AT5G10450 AT5G11670 AT5G16050 AT5G20010 AT5G20020 AT5G42020 AT5G61780 AT5G63680";"A. thaliana";"AIM"
4.03494667838982e-13;34;329;"Cell development ";"AT1G68090 AT1G61290 AT3G12160 AT1G09080 AT5G45890 AT1G13980 AT4G02650 AT4G17530 AT4G18710 AT4G33970 AT5G47200 AT1G12040 AT1G13180 AT1G20090 AT1G34350 AT1G49240 AT1G74030 AT1G75840 AT2G22640 AT2G34650 AT2G35110 AT2G37620 AT2G41970 AT3G18780 AT3G27000 AT3G51300 AT3G53750 AT4G30160 AT5G09810 AT5G18410 AT5G35700 AT5G50260 AT5G60660 AT1G30825";"A. thaliana";"AIM"
4.80815425462749e-13;20;102;"Movement of cell or subcellular component ";"AT1G20090 AT1G75840 AT2G17800 AT2G22640 AT2G28620 AT2G35110 AT2G44690 AT3G12300 AT3G45850 AT3G48040 AT3G51300 AT4G28950 AT4G35020 AT4G35950 AT5G45970 AT5G62880 AT1G50360 AT3G19960 AT4G27370 AT5G54280";"A. thaliana";"AIM"
1.10323520870862e-12;61;986;"Cellular developmental process ";"AT1G20090 AT1G68090 AT1G71790 AT1G75840 AT2G17800 AT2G35110 AT2G44690 AT3G48040 AT3G51300 AT4G28950 AT4G35020 AT4G35950 AT5G18410 AT5G45970 AT5G62880 AT1G61290 AT3G12160 AT2G42230 AT3G57890 AT5G22330 AT1G09080 AT1G75780 AT3G47440 AT5G45890 AT1G13980 AT2G02970 AT2G42500 AT4G02650 AT4G17530 AT4G18710 AT4G31880 AT4G33970 AT5G47200 AT1G12040 AT1G13180 AT1G34350 AT1G49240 AT1G74030 AT2G20190 AT2G22640 AT2G28620 AT2G34650 AT2G37620 AT2G41970 AT3G07880 AT3G18780 AT3G27000 AT3G48750 AT3G53750 AT4G16340 AT4G30160 AT5G07830 AT5G09810 AT5G10480 AT5G18700 AT5G35700 AT5G50260 AT5G51060 AT5G60660 AT5G66680 AT1G30825";"A. thaliana";"AIM"
1.11855138804978e-12;18;82;"Endocytosis ";"AT1G03930 AT1G04440 AT1G72710 AT2G19470 AT3G23340 AT4G02650 AT4G14340 AT4G26100 AT5G43320 AT5G44100 AT5G57015 AT1G13980 AT3G19960 AT3G20290 AT4G05520 AT5G39500 AT5G54280 AT5G25250";"A. thaliana";"AIM"
1.16201306926908e-12;11;21;"Regulation of protein depolymerization ";"AT1G71790 AT2G01330 AT3G05520 AT3G18060 AT2G29890 AT2G41740 AT3G57410 AT4G30160 AT5G57320 AT3G51300 AT2G20190";"A. thaliana";"AIM"
1.37643764120843e-12;47;632;"Response to temperature stimulus ";"AT1G09080 AT1G16030 AT1G35720 AT1G56410 AT1G68090 AT2G38760 AT3G09440 AT3G12580 AT5G02490 AT5G02500 AT5G10220 AT5G10230 AT5G12380 AT5G28540 AT5G42020 AT5G56000 AT5G56010 AT5G56030 AT5G65020 AT2G43790 AT4G01370 AT5G07350 AT5G61780 AT3G44110 AT3G45640 AT5G22060 AT1G79930 AT2G18260 AT2G35040 AT2G39460 AT3G08720 AT3G08730 AT3G11630 AT3G23990 AT3G48750 AT3G55280 AT5G06290 AT5G12250 AT5G38480 AT5G58070 AT5G61900 AT5G10450 AT5G65430 AT1G09090 AT1G56070 AT1G71790 AT2G36530";"A. thaliana";"AIM"
1.71986568069891e-12;90;1853;"Response to hormone ";"AT1G35720 AT1G47510 AT1G50700 AT1G61950 AT2G16600 AT2G21130 AT2G24150 AT3G04050 AT3G04530 AT3G25960 AT3G55650 AT3G55810 AT4G26390 AT4G30850 AT4G34870 AT4G37680 AT4G38320 AT5G01060 AT5G08570 AT5G56350 AT5G63680 AT1G10940 AT1G18540 AT1G50030 AT1G56070 AT1G74030 AT2G16850 AT2G33210 AT2G37170 AT2G43790 AT3G50500 AT3G53420 AT4G17520 AT4G30160 AT4G33950 AT4G35100 AT4G38740 AT5G04430 AT5G08080 AT5G16710 AT5G42020 AT5G58070 AT5G60660 AT5G62880 AT5G66880 AT1G10430 AT1G25490 AT2G18470 AT2G34650 AT2G46070 AT3G48040 AT4G16340 AT4G18710 AT4G28950 AT4G35020 AT5G38480 AT5G41790 AT1G01560 AT1G18080 AT1G19570 AT1G48630 AT2G14580 AT2G36530 AT3G11820 AT3G18130 AT3G18780 AT3G46060 AT3G48330 AT4G01370 AT4G05320 AT4G17260 AT5G09810 AT5G45890 AT1G75270 AT1G06400 AT2G17800 AT3G17410 AT3G53020 AT4G00720 AT4G21534 AT4G21540 AT5G01810 AT1G06390 AT1G35160 AT1G78300 AT2G30980 AT5G10450 AT5G65430 AT1G10210 AT3G45640";"A. thaliana";"AIM"
2.05935745515076e-12;20;110;"Secretion ";"AT1G05360 AT1G08560 AT1G61290 AT1G71820 AT2G18260 AT3G03800 AT3G09900 AT3G11820 AT3G46060 AT3G52400 AT3G53610 AT4G03330 AT4G14950 AT5G03520 AT5G08080 AT5G59840 AT3G51300 AT1G02010 AT1G12360 AT4G12120";"A. thaliana";"AIM"
2.9501404720145e-12;19;99;"Import into cell ";"AT1G03930 AT1G04440 AT1G30450 AT1G72710 AT2G19470 AT3G23340 AT4G02650 AT4G14340 AT4G26100 AT5G43320 AT5G44100 AT5G57015 AT1G13980 AT3G19960 AT3G20290 AT4G05520 AT5G39500 AT5G54280 AT5G25250";"A. thaliana";"AIM"
4.81618068555155e-12;90;1888;"Response to endogenous stimulus ";"AT1G35720 AT1G47510 AT1G50700 AT1G61950 AT2G16600 AT2G21130 AT2G24150 AT3G04050 AT3G04530 AT3G25960 AT3G55650 AT3G55810 AT4G26390 AT4G30850 AT4G34870 AT4G37680 AT4G38320 AT5G01060 AT5G08570 AT5G56350 AT5G63680 AT1G10940 AT1G18540 AT1G50030 AT1G56070 AT1G74030 AT2G16850 AT2G33210 AT2G37170 AT2G43790 AT3G50500 AT3G53420 AT4G17520 AT4G30160 AT4G33950 AT4G35100 AT4G38740 AT5G04430 AT5G08080 AT5G16710 AT5G42020 AT5G58070 AT5G60660 AT5G62880 AT5G66880 AT1G10430 AT1G25490 AT2G18470 AT2G34650 AT2G46070 AT3G48040 AT4G16340 AT4G18710 AT4G28950 AT4G35020 AT5G38480 AT5G41790 AT1G01560 AT1G18080 AT1G19570 AT1G48630 AT2G14580 AT2G36530 AT3G11820 AT3G18130 AT3G18780 AT3G46060 AT3G48330 AT4G01370 AT4G05320 AT4G17260 AT5G09810 AT5G45890 AT1G75270 AT1G06400 AT2G17800 AT3G17410 AT3G53020 AT4G00720 AT4G21534 AT4G21540 AT5G01810 AT1G06390 AT1G35160 AT1G78300 AT2G30980 AT5G10450 AT5G65430 AT1G10210 AT3G45640";"A. thaliana";"AIM"
4.81921176754973e-12;20;115;"Positive regulation of cellular component organization ";"AT1G20090 AT1G30825 AT1G75840 AT2G01330 AT2G17800 AT2G33385 AT2G44690 AT3G18060 AT3G48040 AT3G51300 AT4G28950 AT4G35020 AT4G35950 AT5G45970 AT5G62880 AT1G13180 AT3G27000 AT2G22640 AT2G35110 AT5G18410";"A. thaliana";"AIM"
5.2749081667206e-12;40;491;"Peptidyl-amino acid modification ";"AT1G03920 AT1G03930 AT1G04440 AT1G30640 AT1G50700 AT1G61950 AT1G72710 AT2G19470 AT2G19670 AT2G20470 AT3G04530 AT3G10540 AT3G23310 AT3G23340 AT4G14340 AT4G14350 AT4G26100 AT4G29510 AT4G33080 AT5G04510 AT5G09890 AT5G22330 AT5G43320 AT5G44100 AT5G57015 AT5G64350 AT5G66680 AT5G67530 AT2G16600 AT2G21130 AT2G29960 AT2G41970 AT2G46070 AT3G56070 AT4G34870 AT4G38740 AT5G05420 AT5G58710 AT1G79280 AT5G10480";"A. thaliana";"AIM"
6.70091515971972e-12;10;18;"Regulation of actin filament depolymerization ";"AT1G71790 AT2G01330 AT3G05520 AT3G18060 AT2G29890 AT2G41740 AT3G57410 AT4G30160 AT5G57320 AT3G51300";"A. thaliana";"AIM"
7.588064973188e-12;36;408;"Cell growth ";"AT1G68090 AT1G61290 AT3G12160 AT1G09080 AT1G75780 AT4G02650 AT4G17530 AT4G33970 AT5G47200 AT1G12040 AT1G13180 AT1G13980 AT1G20090 AT1G34350 AT1G49240 AT1G50030 AT1G75840 AT2G20190 AT2G28620 AT2G34650 AT2G35110 AT2G37620 AT2G41970 AT3G07880 AT3G18780 AT3G27000 AT3G51300 AT3G53750 AT4G18710 AT4G30160 AT4G37490 AT5G07830 AT5G09810 AT5G35700 AT5G60660 AT5G66680";"A. thaliana";"AIM"
1.16787781245039e-11;66;1186;"Cellular response to organic substance ";"AT1G09080 AT1G16030 AT1G50700 AT1G56410 AT1G61950 AT2G16600 AT2G21130 AT3G04050 AT3G04530 AT3G09440 AT3G12580 AT3G25960 AT3G55650 AT3G55810 AT4G26390 AT4G34870 AT5G01060 AT5G02490 AT5G02500 AT5G08570 AT5G28540 AT5G42020 AT5G56350 AT5G63680 AT1G50030 AT5G62880 AT1G10430 AT1G25490 AT2G18470 AT2G34650 AT2G46070 AT3G48040 AT3G50500 AT4G16340 AT4G18710 AT4G28950 AT4G33950 AT4G35020 AT5G38480 AT5G41790 AT5G66880 AT1G08830 AT1G18080 AT1G48630 AT2G28190 AT3G18130 AT3G46060 AT1G19570 AT1G75270 AT4G38740 AT2G17800 AT2G43790 AT3G17410 AT3G53020 AT4G01370 AT4G21534 AT4G21540 AT5G01810 AT1G06390 AT1G35160 AT1G78300 AT2G30980 AT5G10450 AT5G65430 AT1G10210 AT3G45640";"A. thaliana";"AIM"
1.34253842071022e-11;57;937;"Anatomical structure morphogenesis ";"AT1G20090 AT1G68090 AT1G71790 AT1G75840 AT2G17800 AT2G35110 AT2G44690 AT3G48040 AT3G51300 AT4G28950 AT4G35020 AT4G35950 AT5G18410 AT5G45970 AT5G62880 AT1G61290 AT3G12160 AT2G42230 AT3G57890 AT1G09080 AT1G75780 AT1G13980 AT2G02970 AT4G02650 AT4G17530 AT4G18710 AT4G33970 AT5G47200 AT1G07880 AT1G12040 AT1G13180 AT1G34350 AT1G49240 AT1G74030 AT2G20190 AT2G22640 AT2G28620 AT2G34650 AT2G37620 AT2G41970 AT3G05840 AT3G07880 AT3G18780 AT3G27000 AT3G53750 AT4G16340 AT4G30160 AT5G07830 AT5G09810 AT5G16780 AT5G18700 AT5G26751 AT5G35700 AT5G51060 AT5G60660 AT5G66680 AT1G30825";"A. thaliana";"AIM"
1.38180832346375e-11;52;804;"Cellular response to oxygen-containing compound ";"AT1G08830 AT1G12520 AT1G50700 AT1G61950 AT2G16600 AT2G21130 AT2G28190 AT3G04050 AT3G04530 AT3G25960 AT3G55650 AT3G55810 AT4G26390 AT4G34870 AT5G01060 AT5G08570 AT5G18100 AT5G56350 AT5G63680 AT5G62880 AT1G10430 AT1G25490 AT1G50030 AT2G18470 AT3G48040 AT3G50500 AT4G18710 AT4G28950 AT4G33950 AT5G41790 AT5G66880 AT1G18080 AT1G48630 AT3G18130 AT1G19570 AT1G75270 AT4G38740 AT2G43790 AT2G46070 AT3G17410 AT4G01370 AT4G21534 AT4G21540 AT5G01810 AT1G06390 AT1G35160 AT1G78300 AT2G30980 AT5G10450 AT5G65430 AT2G17800 AT3G45640";"A. thaliana";"AIM"
3.43683653509152e-11;11;27;"Regulation of protein complex disassembly ";"AT1G71790 AT2G01330 AT3G05520 AT3G18060 AT2G29890 AT2G41740 AT3G57410 AT4G30160 AT5G57320 AT3G51300 AT2G20190";"A. thaliana";"AIM"
4.78782245332607e-11;10;21;"Peptidyl-threonine phosphorylation ";"AT1G03930 AT1G04440 AT1G72710 AT2G19470 AT3G23340 AT4G14340 AT4G26100 AT5G43320 AT5G44100 AT5G57015";"A. thaliana";"AIM"
4.78782245332607e-11;10;21;"Peptidyl-threonine modification ";"AT1G03930 AT1G04440 AT1G72710 AT2G19470 AT3G23340 AT4G14340 AT4G26100 AT5G43320 AT5G44100 AT5G57015";"A. thaliana";"AIM"
4.78782245332607e-11;22;161;"Organelle localization ";"AT1G08560 AT1G61290 AT2G18260 AT3G03800 AT3G09900 AT3G11820 AT3G24350 AT3G27530 AT3G46060 AT3G52400 AT3G53610 AT4G03330 AT5G03520 AT5G05760 AT5G08080 AT5G59840 AT3G51300 AT1G02010 AT1G12360 AT4G12120 AT1G10430 AT1G13980";"A. thaliana";"AIM"
